strain,time_to_max,molecule_num,stdev,concentration,rate,,gene_copy,gene_copywhole,scaled_con,scaled_length,decay
WT_hap,2.5,113.5,5.2,113,45.4,,1,1,1,0.810714286,2.5
WT_dup,1.8,178,7.5,178,98.88888889,,2,2,1.575221239,1.271428571,4.2
WT_dip,4,110,4.6,70.06369427,27.5,,1.27,2,0.620032693,0.785714286,2.2
WT_dipdup,2.8,142.5,5.5,90.76433121,50.89285714,,2.547770701,4,0.799685738,1.017857143,2.3
WT_half,6,80.14,4.7,51.04458599,13.35666667,,0.318471338,1,0.451722,0.572428571,1.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"assuming Wt_hap is 100%, scale other numbers by this, divinde by increase in volume",,,,,,,,,,,
